Category,Speaker,Location/Stop,Node/Quirk,Line Type,Text,Cost,Effect,Result/Response
Encounter,Street Weirdo,"Seattle, mile 4 (guaranteed first pull-in)",,Quote,"Pullman by night? In THIS old heap? That mountain eats such rides for cheap.",,,
Encounter,Street Weirdo,"Seattle, mile 4 (guaranteed first pull-in)",,Choice,"""Any idea what the weather is doing up at the pass?""",,Reveals snow hazard,"Past North Bend it's chains or a prayer — I hear it's a whiteout up there."
Encounter,Street Weirdo,"Seattle, mile 4 (guaranteed first pull-in)",,Choice,"""Here's a dollar, pal. I hope you spend it fair.""",$1,Generous,"A giver! How noble, chum — I need fifty, yet you've provided one."
Encounter,Street Weirdo,"Seattle, mile 4 (guaranteed first pull-in)",,Choice,"""This is not the establishment for me. Time to dip.""",,No effect,"He salutes you with a cup he found on the ground — ""Safe travels, moneybags. Try not to drown."""
Encounter,Chain Guy,"North Bend, mile 32",greet,Quote,"You made it this far, but it's about to get tricky. Buy some chains and make the road less slippy.",,,
Encounter,Chain Guy,"North Bend, mile 32",greet,Choice,"""Are you selling those tire chains?""",$150 (quoted — paid at Les Schwasted),"Prices SNOW CHAINS at $150 on the Les Schwasted menu (list $200), this stop only; reveals snow hazard; ends","""I don't carry stock in my truck — I run the counter at Schwasted's. Ask for me; it's $150 with your luck."""
Encounter,Chain Guy,"North Bend, mile 32",greet,Choice,"""Can you do any better on the price of those chains? Say $80?""",,Goes to node: haggle,
Encounter,Chain Guy,"North Bend, mile 32",greet,Choice,"""How bad can it be up there, really?""",,Goes to node: passInfo,"If you have to ask, friend, here's my advice — stay in North Bend tonight and sleep on it twice."
Encounter,Chain Guy,"North Bend, mile 32",greet,Choice,"""I don't need chains. This isn't my first snowdeo.""",,No effect; ends,"""Snowdeo,"" he repeats, and spits in the slush. ""They all say that on the way up the brush."""
Encounter,Chain Guy,"North Bend, mile 32",haggle,Quote,"$120 — no receipt, no refund, no eye; that's my whole pitch, so buy or say bye.",,,
Encounter,Chain Guy,"North Bend, mile 32",haggle,Choice,"""Deal. Write it up before I think it through.""",$120 (quoted — paid at Les Schwasted),"Prices SNOW CHAINS at $120 on the Les Schwasted menu, this stop only; reveals snow hazard; ends","""$120, then. Tell the counter I sent you — and don't expect paperwork when you do."""
Encounter,Chain Guy,"North Bend, mile 32",haggle,Choice,"""Fine — full price, then. You win.""",,Returns to node: greet,"You can pay full price here, or up there. It's much cheaper here."
Encounter,Chain Guy,"North Bend, mile 32",haggle,Choice,"""I'll take my chances. Walk away.""",,No effect; ends,"""Suit yourself,"" he shrugs, already turned — ""the tow bill's steeper, but some folks like to learn."""
Encounter,Chain Guy,"North Bend, mile 32",passInfo,Quote,"Bad enough I'm here and not in bed — whiteout up top, and the plows are losing, it's said.",,,
Encounter,Chain Guy,"North Bend, mile 32",passInfo,Choice,"""Not bad… if you have chains.""",,Returns to node: greet; reveals snow hazard,
Encounter,Chain Guy,"North Bend, mile 32",passInfo,Choice,"""Appreciate the offer, but I think I got this.""",,Reveals snow hazard; ends,"""Everybody's got it,"" he says, ""'til they don't. I'd wish you luck, but honestly — I won't."""
Encounter,Ski Bum,"Snoqualmie Pass, mile 53",,Quote,"Past the tunnel it's whiteout, thick and dread — slow is smooth, and smooth is not-dead.",,,
Encounter,Ski Bum,"Snoqualmie Pass, mile 53",,Choice,"""Let me grab one of those thermoses off you.""",$15,"Warm buff, +100s, alertness up","This coffee is so strong it could strip a door — you'll be wide awake and craving more."
Encounter,Ski Bum,"Snoqualmie Pass, mile 53",,Choice,"""Is there a safer route to take? I don't want to end up in the lake.""",,Reveals whiteout hazard,"It's crazy up there. Kind of storm only the bold would dare."
Encounter,Ski Bum,"Snoqualmie Pass, mile 53",,Choice,"""Thanks, but no thanks.""",,No effect,"No worries, my guy. Stay alert, keep the road in your eyes."
Encounter,Long-Haul Mike,"Vantage, mile 137",,Quote,"My company card was just declined. Can you help me fill half the tank? My timeline is already behind.",,,
Encounter,Long-Haul Mike,"Vantage, mile 137",,Choice,"""I can't afford that kind of cash. Any idea what the road ahead holds? I'm hoping not to crash.""",,"Wind-ready buff, reveals crosswind hazard","It's going to be a wild ride. If the wind takes you, you wouldn't be the first who died."
